Part,Positives,Negatives,Effects
Artifact_Part_Ability_LastStand,,,"Temporary Invulnerability, Duration 5s, Cooldown 40s ""Temporary Invulnerability when Health drops below 50%"""
Artifact_Part_Ability_LootExpander,,,"Enhanced Pickups, Cash +119%, Ammo +25%, Health +43% ""Increases the amount of cash, health and ammo you recieve from pickups"""
Artifact_Part_Ability_MindMelt,,,"Imbue Slam with Radiation, Slam Bonus Damage 88%, Slam Radius +28%, Aura Duration 8s ""Slam triggers a Radiation aura that follows you and damages nearby enemies"""
Artifact_Part_Ability_RadiationStone,,,"Imbue Melee with Radiation, Bonus Damage +80% ""Adds Radiation damage to all Melee attacks"""
Artifact_Part_Ability_Radiodead,,,"Imbue Slide With Radiation, Bonus Damage 73%, Duration 5sec ""Slide deals additonal Radiation damage creating a toxic puddle on impact"""
Artifact_Part_Ability_Relic,,,"Find Better Loot, Luck +38.00% ""Increases the chance to find rare loot"""
Artifact_Part_Ability_ShatterRig,,,"Vs. Frozen, Bonus Damage +35%, Cryo Efficiency +50% ""Increase damage against Frozen targets"""
Artifact_Part_Ability_ShockStone,,,"Imbue Melee with Shock, Bonus Damage +80% ""Adds Shock damage to all Melee attacks"""
Artifact_Part_Ability_SparkPlug,,,"Imbue Slam with Shock, Slam Bonus Damage 88%, Slam Radius +28%, Duration 8s ""Slam plants an electrified coil that does Shock damage to nearby enemies"""
Artifact_Part_Ability_ToxicRevenger,,,"Imbue Slam with Corrosive, Slam Bonus Damage 88%, Slam Radius +28%, Puddle Duration 5s ""Slam creates a large Corrosive puddle on impact"""
Artifact_Part_Ability_CommanderPlanetoid,,,Deal 69% bonus elemental damage whenever you Melee an enemy. Elemental type changes ever 5 seconds
Artifact_Part_Ability_CosmicCrater,,,Slam creates a random puddle that lasts for 5 seconds
Artifact_Part_Ability_Deathless,,,"Reserves all but 1 Health, +100% Shield Capacity, +25% Shield Recharge Rate, -20% Shield Recharge Delay"
Artifact_Part_Ability_ElDragonJr,,,"Unlease The Power of El Dragon, Melee Ignite Chance 100%, Slide Ignite Chance 100%, Ground Slam Ignite Chance 100%"
Artifact_Part_Ability_ElectricBanjo,,,"Star Power, Bullet Proce Chance +20%"
Artifact_Part_Ability_LoadedDice,,,"-75% Max Health, Substantially increases your Luck"
Artifact_Part_Ability_MoxxisEndowment,,,+8% Combat XP
Artifact_Part_Ability_OttoIdol,,,Restore 18% health on kill
Artifact_Part_Ability_PhoenixTears,,,"Rise Up!, Health on Second Wind 100%"
Artifact_Part_Ability_PullOutMethod,,,"Slam generates a singularity effect, pulling enemies toward you"
Artifact_Part_Ability_RearEnder,,,"Improved Slam, Slam Damage +59%, Slam Radius +28%, Slam Knockback +53%"
Artifact_Part_Ability_RoadWarrior,,,"Slide Release Agnoziing Pain, Buzzsaws 3.0/s, Buzzsaw Damage 1"
Artifact_Part_Ability_RocketBoots,,,Slide launches homing rockets that deal Incendiary Damage
Artifact_Part_Ability_Safegaurd,,,Slam triggers a shield that reduces incoming damage by +57% and lasts for 5 seconds
Artifact_Part_Ability_Salvo,,,Slam launches a barrage of homing rockets
Artifact_Part_Ability_SplatterGun,,,+50% Shotgun Damage while sliding
Artifact_Part_Ability_StaticTouch,,,"Slide builds a static charge, causing your next Melee attack to do a 50% bonus Shock damage that chains to nearby enemies"
Artifact_Part_Ability_VictoryRush,,,"Kill a Badass to trigger Victory Rush, +18% Movement Speed and Damage for 60 second duration"
Artifact_Part_Ability_WhiteElephant,,,Melee attacks have a 30% chance to attack a sticky bomb
Artifact_Part_Stat_Relic,,,+10% Experience Gained from Combat
Artifact_Part_Stats_Asbestos,,,+29% Incendiary Resistance
Artifact_Part_Stats_Brawler,,,+25% Melee Damage
Artifact_Part_Stats_Breaching,,,+17% Shotgun Damage
Artifact_Part_Stats_Contaminated,,,+16% Radiation Damage
Artifact_Part_Stats_DeadEye,,,+16% Pistol Damage
Artifact_Part_Stats_Durable,,,+29% Corrosive Resistance
Artifact_Part_Stats_Frozen,,,+16% Cryo Damage
Artifact_Part_Stats_Greasy,,,+16% SMG Damage
Artifact_Part_Stats_Grenadier,,,+30% Grenade Damage
Artifact_Part_Stats_Grounded,,,+29% Shock Resistance
Artifact_Part_Stats_Hasty,,,+8% Movement Speed
Artifact_Part_Stats_HollowPoint,,,+16% Assault Rifle Damage
Artifact_Part_Stats_Hulking,,,+17% Heavy Damage
Artifact_Part_Stats_Insulated,,,+29% Cryo Resistance
Artifact_Part_Stats_LeadCoated,,,+29% Radiation Resistance
Artifact_Part_Stats_Loaded,,,+40% Magazine Size
Artifact_Part_Stats_LongLasting,,,+21% Action Skill Cooldown Rate
Artifact_Part_Stats_LongRange,,,+17% Sniper Damage
Artifact_Part_Stats_Lucky,,,+12.67 Luck
Artifact_Part_Stats_Lustrous,,,+23% Elemental Resistance
Artifact_Part_Stats_Melty,,,+16% Corrosive Damage
Artifact_Part_Stats_Precision,,,+26% Weapon Accuracy
Artifact_Part_Stats_Quickdraw,,,+14% Weapon Reload Speed
Artifact_Part_Stats_Ravaging,,,+33% Splash Damage
Artifact_Part_Stats_Spicy,,,+16% Incendiary Damage
Artifact_Part_Stats_Stalwart,,,+1666 Max Shield
Artifact_Part_Stats_Unyielding,,,+40% FFYL Downed Time
Artifact_Part_Stats_Vigorous,,,+1487 Max Health
Artifact_Part_Stats_Zappy,,,+16% Shock Damage
Artifact_Part_Stats_Accuracy,,,+26% Accuracy
Artifact_Part_Stats_ActionSkillCooldown,,,+21% Action Skill Cooldown Rate
Artifact_Part_Stats_AreaDamage,,,+33% Splash Damage
Artifact_Part_Stats_ATLAS,,,"+20% ATLAS Weapon Fire Rate, +83% ATLAS Weapon Magazine Size"
Artifact_Part_Stats_BleedoutDuration,,,+40% Fight for your life duration
Artifact_Part_Stats_BleedoutMoveSpeed,,,+37% Fight for your life Movement Speed
Artifact_Part_Stats_CorrosiveDamage,,,+16% Corrosive Damage
Artifact_Part_Stats_CorrosiveDoTChance,,,+26% Corrosive Chance
Artifact_Part_Stats_CorrosiveResist,,,+29% Corrosive Resistance
Artifact_Part_Stats_CryoDamage_3,,,+16% Cryo Damage
Artifact_Part_Stats_CryoEfficiency,,,+27% Cryo Efficiency
Artifact_Part_Stats_CryoResist,,,+29% Cryo Resistance
Artifact_Part_Stats_FireDamage_3,,,+16% Fire Damage
Artifact_Part_Stats_FireDoTChance,,,+26% Incendiary Chance
Artifact_Part_Stats_FireResist,,,+29% Incendiary Resistance
Artifact_Part_Stats_HealthRegen,,,Regenerates +149 Health/sec
Artifact_Part_Stats_Jakobs1,,,"+43% Jakobs Weapon Magazine Size, +17% Jakobs WEapon Reload Speed"
Artifact_Part_Stats_MagazineSize,,,+40% Magazine Size
Artifact_Part_Stats_MaxHealth,,,+1487 Max health
Artifact_Part_Stats_MaxShieldCapacity,,,+30% Shield Recharge Rate
Artifact_Part_Stats_MeleeDamage,,,+25% Melee Damage
Artifact_Part_Stats_Movespeed,,,+8% Movement Speed
Artifact_Part_Stats_RadiationDamage,,,+16% Radiation Damage
Artifact_Part_Stats_RadiationDoTChance,,,+27% Irradiate Chance
Artifact_Part_Stats_RadiationResist,,,+29% Radiation Resistance
Artifact_Part_Stats_ReloadSpeed,,,+14% Weapon Reload Speed
Artifact_Part_Stats_ShieldRechargeDelay,,,-30% Shield Recharge Delay
Artifact_Part_Stats_ShieldRechargeRate,,,+30% Shield Recharge Rate
Artifact_Part_Stats_ShockDamage,,,+16% Shock Damage
Artifact_Part_Stats_ShockDoTChance,,,+26% Shock Chance
Artifact_Part_Stats_ShockResist,,,+29% Shock Resistance
Artifact_Part_Stats_Tediore,,,"+35% Tediore Weapon Accuracy, +138% Tediore Weapon Magazine Size"
Artifact_Part_Stats_Vladof,,,"+10% Vladof Weapon Fire Rate, +67% Vladof Weapon Magazine Size"
Artifact_Part_Stats_XPMultiplier,,,+7% Experience Gained From Combat
Part_Shield_Aug_ANS__LGD_Aurelia,,,"When depleted, releases a large Cryo nova dealing 11154 damage and freezing enemies. 30% of Nova damage is returned as health"
Part_Shield_Aug_BackHam,,,Damage taken from behind is reduced by 56%
Part_Shield_Aug_ANS_LGD_Breakup,,,"You are accompanied by a small drone that will fire at enemies, dealing damage per shot. When your shield breaks, a temporary drone will come to your aid."
Part_Shield_Aug_ANS_LGD_NovaBurner,,,"22,307 Incendiary Damage on shield break and fill"
Part_Shield_Aug_ANS_LGD_ReRouter,,,"When fully charged, the next shot Drain 50% shield to deal 120% bonus Amp Damage and return it as health"
Part_Shield_ANS_Aug_LGD_RoughRider,,,Reduces incoming damage by 23% and grants +35% Max health
Part_Shield_Aug_ANS_LGD_SlideKick,,,Sliding into enemies drains all shields and deals up to 5205 bonus damage based on current shield strength
Part_Shield_Aug_ANS_LGD_WTF,,,25% Chance to drop IEDs when damaged that deal 3718 damage
Part_Shield_Aug_ScreamOfTerror,,,14872 nova damage on shield break
Part_Shield_Aug_HYP_LGD_FrontLoader,,,Reserves 60% of your Max Health and returns it as Shield Cpaacity.
Part_Shield_Aug_HYP_LGD_ReCharger,,,Instantly begins recharging when borken. Cooldown: 20s
Part_Shield_Aug_HYP_LGD_Rectifier1,,,"While depleted, electrocutes nearby enemies dealing 279 Shock Damage per second"
Part_Shield_Aug_HYP_LGD_StopGap,,,"On Shield Break, become immune to any damage taken for 5 seconds."
Shield_Part_Aug_HYP_LGD_Transformer,,,"Converts 100% of Shock Damage into shields. 40% Chance to absorb bullets, adding them to your ammo count."
Part_Shield_Aug_Ward,,,+25% Weapon Dmaage while shield is depleted. +2% Max Health per second while shields are active. This effect doubles while shields are depleted.
Part_Shield_Aug_PAN_LGD_BigBoomBlaster,,,"Has a 60% chance to drop a booster that restores 60% shields, a grenade, and Heavy ammo"
Part_Shield_Aug_PAN_LGD_BlackHole,,,Suck enemies towards you on shield break
Part_Shield_Aug_PAN_Cyttorak,,,+22% Weapon Damage while shield is depleted. +25% Max Health
Part_Shield_Aug_PAN_LGD_Impaler,,,Fires homing spikes to attackers when taking bullet damage
Part_Shield_Aug_PAN_LGD_Radiate,,,Deals Radiation damage per second to nearby enemies and grants immunity to Radiation damage.
Part_Shield_Aug_PAN_LGD_Revengenader,,,Throws a free grenade when shield is depleted. This effect has a short cooldown
Part_Shield_Aug_PAN_LGD_ShootingStar,,,"While depleted, successful melees summon a projectile that deals damage."
Part_Shield_Aug_MoxxisEmbrace,,,Healgasm all over yourself and allies to heal them for 2231 on shield break
Part_Shield_Aug_XPLootBooster,,,Experience Gain: +10%. Loot Rarity boost. XP and Loot effects work through Level 10.
Part_Shield_Aug_HYP_BuriedAlive,,,+5% Max Health per second while shields are full.
Part_Shield_Aug_HYP_LGD_Dispensary,,,"On taking dmage, has a 35% chance to drop an Upper or Downer pill. These pills provide buffs, but can have some bad side effects..."
Part_Shield_Aug_LoopOf4N631,,,Reduces action skill cooldown duration when depleted
Part_Shield_Aug_GoldenTouch,,,"Provides: Brimming, Fleet and Roid"
Part_Shield_Aug_MrCaffeine,,,"+50% Reload Speed and 15% Fire Rate while shield is full. When depleted, Fire Rate and Reload Speed are severely penalised."
Part_Shield_Aug_Absorb,,,+15% chance to absorb bullets as ammo
Part_Shield_Aug_Adaptive,,,+8% health and 17% resistance to the last damage type received for 3 seconds.
Part_Shield_Aug_Adrenaline,,,+23% Reload Speed while shield is depleted
Part_Shield_Aug_Amp,,,"While Full, Shots Drain 30% Shields for +20% Weapon Damage"
Part_Shield_Aug_Brimming,,,+5% Max health per second while shields are full.
Part_Shield_Aug_Capacity,,,+25% Max Capacity
Part_Shield_Aug_Fleet,,,+10% Movement Speed while shield is depleted
Part_Shield_Aug_FortifyCharge,,,"When damaged, has a 15% chance to drop a Forify Charge that grants 10% Damage Reduction"
Part_Shield_Aug_HealthCharge,,,"When damaged, has a 15% chance to drop a Health Charge that restores 15% of Max health"
Part_Shield_Aug_Healthy,,,+10 / 25 / 50% Max Health
Part_Shield_Aug_Knockback,,,Deals area-knockback on shield break
Part_Shield_Aug_Nova,,,Deals area-knockback and damage based on shields resistance type on shield break
Part_Shield_Aug_PowerCharge,,,"When damaged, has a 15% chance to drop a Power Charge that increases weapon damage by 10%"
Part_Shield_Aug_Projected,,,"Crouching projects your shield forward, gaining +20% damage reduction."
Part_Shield_Aug_RechargeDelay,,,-25% Recharge Delay
Part_Shield_Aug_RechargeRate,,,+15% Recharge Rate
Part_Shield_Aug_Reflect,,,15% chance to Reflect projectiles while shielded
Part_Shield_Aug_Roid,,,+80 / 180 / 300% Melee Damage while shield is depleted
Part_Shield_Aug_ShieldCharge,,,"When damaged, has a 15% chance to drop a Booster that restores 8% shields."
Part_Shield_Aug_Spike,,,Returns 1487 damage if melee'd while shielded
Part_Shield_Aug_TriggerHappy,,,+10% Fire Rate while shield is depleted
Part_Shield_Aug_Turtle,,,"+40% Capacity, -10% Max Health"
Part_Shield_Aug_Vagabond,,,+10% Movement Speed while shields are full.
Part_Shield_Mat_BackHam,,,Skin
Part_Shield_Mat_PAN_LGD_BigBoomBlaster,,,Skin
Part_Shield_Mat_PAN_LGD_BlackHole,,,Skin
Part_Shield_Mat_HYP_LGD_FrontLoader,,,Skin
Part_Shield_Mat_PAN_LGD_Impaler,,,Skin
Part_Shield_Mat_ANS_LGD_NovaBurner,,,Skin
Part_Shield_Mat_HYP_LGD_ReCharger,,,Skin
Part_Shield_Mat_HYP_LGD_Rectifier1,,,Skin
Part_Shield_Mat_PAN_LGD_Revengenader,,,Skin
Part_Shield_Mat_ANS_LGD_SlideKick,,,Skin
Part_Shield_Mat_HYP_LGD_StopGap,,,Skin
Part_Shield_Mat_ANS_LGD_ReRouter,,,Skin
Part_Shield_Mat_ANS_LGD_WTF,,,Skin
Part_Shield_Mat_ANS_LGD_Aurelia,,,Skin
Part_Shield_Mat_HYP_BuriedAlive,,,Skin
Part_Shield_Mat_PAN_Cyttorak,,,Skin
Part_Shield_Mat_HYP_LGD_Dispensary,,,Skin
Part_Shield_Mat_GoldenTouch,,,Skin
Part_Shield_Mat_ANS_LGD_Breakup,,,Skin
Part_Shield_Mat_MoxxisEmbrace,,,Skin
Part_Shield_Mat_PAN_LGD_Radiate,,,Skin
Part_Shield_Mat_PAN_LGD_ShootingStar,,,Skin
Part_Shield_Mat_PAN_LGD_Unpaler,,,Skin
Part_Shield_Mat_Ward,,,Skin
Part_Shield_Mat_XPLootBooster,,,Skin
Part_Shield_Mat_ScreamOfTerror,,,Skin
Part_Shield_Mat_ANS_LGD_VersionOmNom,,,Skin
Part_Shield_Mat_ANS_LGD_SlideKick,,,Skin
GM_Part_Behavior_01_Large,,,Increases radius by 20/40/60%
GM_Part_Behavior_03_Bouncy,,,"Grenade bounces forward 3/5/7 times, exploding when hitting an enemy. Keeps bouncing after."
GM_Part_Behavior_04_Sticky,,,Sticks on impact. Deals 25/100/200% bonus damage if stuck directly to an enemy
GM_Part_Behavior_06_MIRV,,,Spawns 3/6/9 MIRV grenades
GM_Part_Behavior_07_Lingering,,,Does DoT for 4/6/8 seconds or 2/4/6 bursts
GM_Part_Behavior_09_Singularity,,,Pulls enemies towards epicenter. Singularity FX are static. Does not stack.
GM_Part_Behavior_10_Transfusion,,,Steal 30/60/100% damage dealt to enemy Health. Doesn't apply to DoTs. Gives to allies if user full.
GM_Part_Behavior_11_Force,,,Knocks enemies away and off their feet
GM_Part_Behavior_12_Mini_MIRV,,,MIRV grenades spawn 3/4 more grenades.
GM_Part_Behavior_15_Spring,,,Bounces straight up 1/2/4 times and explodes on each impact. Damage increased 10/15/20% per jump.
GM_Part_Behavior_16_Money,,,Enemies drop a small/moderate/significant sum of cash when damaged.
GM_Part_Behavior_18_Generator,,,Steals 30/60/100% of damage dealt to enemy Shields
GM_Part_Behavior_19_Artillery,,,Fires bullets in a 360 spray dealing 15/30/50% additional DoT until it explodes.
GM_Part_Behavior_20_Nuke,,,Consumes up to 2/3/5 additional grenades. Damage up 50% per extra grenade.
GM_Part_Behavior_21_Link,,,15/30/50% increased damage for each additional enemy hit.
GM_Part_Behavior_22_Divider,,,Grenade splits into 1+1/2/3 grenades shortly after thrown.
GM_Part_Behavior_23_Roider,,,Increases grenade damage by 15/30/45%
GM_Part_Behavior_24_ElementalDamage,,,Increases elemental damage by 15/30/45%
GM_Part_Behavior_25_Rain,,,Launches straight up after initial explosion and fires 3/4/5 grenades in a circle around it
GM_Part_Behavior_NONE,,,N/A (Can be used as filler slot to maintain component count)
Part_GM_Aug_BirthdaySuprise,,,Deals 100% increased damage to varkids and spiderants.
Part_GM_Aug_ButtStallion,,,Throw Buttstallion with a rainbow explosion
Part_GM_Aug_CashMoneyPreorder,,,Enemies dropa  holy metric buttload of cash when damaged
Part_GM_Aug_Chupa,,,Sticks to enemy and does damage over time to health. Ignores shields
Part_GM_Aug_EMP,,,Depletes enemy shields
Part_GM_Aug_Epicenter,,,Explodes twice releasing radial of projectiles.
Part_GM_Aug_Fastball,,,Throws the grenade like a fast baseball. Explodes on impact
Part_GM_Aug_FireStorm,,,Rains fireballs down from the sky
Part_GM_Aug_HunterSeeker,,,Splits into 2 slow drones that shoot before exploding
Part_GM_Aug_JustDeserts,,,"Throws a cake, small radius"
Part_GM_Aug_Kryll,,,Triples number of grenades with each explosion up to 3 times
Part_GM_Aug_Nagate,,,Spawns circle of longbow grenades
Part_GM_Aug_ObviousTrap,,,Lay down a group of 6 sticky grenades that detonate when an enemy is near
Part_GM_Aug_PAN_MoxiesBosom,,,Rubberized. Throws 2 grenades at once. Increased dmg every bounce
Part_GM_Aug_Piss,,,Removes status effects on allies. Damaged enemies take +20% dmg
Part_GM_Aug_Quasar,,,Hovers & sucks enemies in. Constant arcs of electricity
Part_GM_Aug_RedQueen,,,Rubberized. Splits into 2 laser-connected grenades.
Part_GM_Aug_Seeker,,,Homing
Part_GM_Aug_Shroom,,,Creates 3 mushrooms which each explode dealing corrosive
Part_GM_Aug_StormFront,,,Splits into 4 grenades that deal continuous shock to nearby enemies
Part_GM_Aug_TranFusion,,,Heals for 120% of hp dmg dealt. Heals shields for 30% shield dmg
Part_GM_Aug_WidowMaker,,,Proximity grenade. Spawns homing rockets
Part_GM_Aug_WizardOfNOG,,,Turns NOG friendly
GM_Part_Material_Atlas_01_Common,,,Skin
GM_Part_Material_Atlas_02_Uncommon,,,Skin
GM_Part_Material_Atlas_03_Rare,,,Skin
GM_Part_Material_Atlas_04_VeryRare,,,Skin
GM_Part_Material_Hyperion_01_Common,,,Skin
GM_Part_Material_Hyperion_02_Uncommon,,,Skin
GM_Part_Material_Hyperion_03_Rare,,,Skin
GM_Part_Material_Hyperion_04_VeryRare,,,Skin
GM_Part_Material_Pangolin_01_Common,,,Skin
GM_Part_Material_Pangolin_02_Uncommon,,,Skin
GM_Part_Material_Pangolin_03_Rare,,,Skin
GM_Part_Material_Pangolin_04_VeryRare,,,Skin
GM_Part_Material_Tediore_01_Common,,,Skin
GM_Part_Material_Tediore_02_Uncommon,,,Skin
GM_Part_Material_Tediore_03_Rare,,,Skin
GM_Part_Material_Tediore_04_VeryRare,,,Skin
GM_Part_Material_Torgue_01_Common,,,Skin
GM_Part_Material_Torgue_02_Uncommon,,,Skin
GM_Part_Material_Torgue_03_Rare,,,Skin
GM_Part_Material_Torgue_04_VeryRare,,,Skin
GM_Part_Material_Vladof_01_Common,,,Skin
GM_Part_Material_Vladof_02_Uncommon,,,Skin
GM_Part_Material_Vladof_03_Rare,,,Skin
GM_Part_Material_Vladof_04_VeryRare,,,Skin
Part_GM_Material_BirthdaySuprise,,,Skin
Part_GM_Material_ButtStallion,,,Skin
Part_GM_Material_CashMoneyPreorder,,,Skin
Part_GM_Material_Chupa,,,Skin
Part_GM_Material_EchoV2,,,Skin
Part_GM_Material_EMP,,,Skin
Part_GM_Material_Epicenter,,,Skin
Part_GM_Material_Fastball,,,Skin
Part_GM_Material_FireStorm,,,Skin
Part_GM_Material_HipHop,,,Skin
Part_GM_Material_HunterSeeker,,,Skin
Part_GM_Material_JustDeserts,,,Skin
Part_GM_Material_Kryll,,,Skin
Part_GM_Material_Nagate,,,Skin
Part_GM_Material_ObviousTrap,,,Skin
Part_GM_Material_PAN_MoxiesBosom,,,Skin
Part_GM_Material_Piss,,,Skin
Part_GM_Material_Quasar,,,Skin
Part_GM_Material_RedQueen,,,Skin
Part_GM_Material_Seeker,,,Skin
Part_GM_Material_Shroom,,,Skin
Part_GM_Material_StormFront,,,Skin
Part_GM_Material_Summit,,,Skin
Part_GM_Material_Surge,,,Skin
Part_GM_Material_ToiletBombs,,,Skin
Part_GM_Material_ToyGrenade,,,Skin
Part_GM_Material_TranFusion,,,Skin
Part_GM_Material_WidowMaker,,,Skin
Part_GM_Material_WizardOfNOG,,,Skin
Part_GM_Material_FontOfDarkness,,,Skin
GM_Part_Manufacturer_01_Torgue,,,Exploder
GM_Part_Manufacturer_02_Atlas,,,Homing
GM_Part_Manufacturer_03_Hyperion,,,Longbow
GM_Part_Manufacturer_04_Vladof,,,Impact
GM_Part_Manufacturer_06_Pangolin,,,Rubberized
GM_Part_Manufacturer_07_Tediore,,,Explode after impact
ClassMod_Part_Beastmaster_Unique_01_Friendbot,,,"Psycho Head on a Stick / All my BFFs / Barbaric Yawp When FL4K kills an enemy, their pet gains second wind"
ClassMod_Part_Beastmaster_Unique_02_CosmicStalker,,,Big Game / Interplanetary Stalker / Hunter's Eye FL4K's Hunt Skill Power is increased by 25%
ClassMod_Part_Beastmaster_Unique_03_BountyHunter,,,"Hunter's Eye / The Most Dangerous Game / Frenzy FL4K has a 3% chance to activate any purchased Hunt Kill Skill when dealing gun damage. Bosses are now treated as Humans, Beasts and Robotics for FL4K's Hunt Skills."
ClassMod_Part_Beastmaster_Unique_05_RakkCommander,,,He Bites! / Go for the Eyes! / Eager to Impress Rakk Attack gains 1 extra charge!
ClassMod_Part_Beastmaster_Unique_06_RedFang,,,"Eager to impress / Ferocity / He Bites! While Gamma Burst is active, FL4K's pet taunts all enemies."
ClassMod_Part_Beastmaster_Unique_07_BlueFang,,,Fade Away kills have a 33% chance to refund a Fade Away Charge and extend the duration of Fade Away by 3 seconds.
ClassMod_Part_Mod_Beastmaster_01_QuickCharge,,,Hunter's Eye / Two F4ng / Turn Tail and Run
ClassMod_Part_Mod_Beastmaster_02_Divergent,,,Eager To Impress / Hive Mind / Who Rescued Who?
ClassMod_Part_Mod_Beastmaster_03_Bushmaster,,,Ambush Predator / Leave No Trace / Turn Tail and Run
ClassMod_Part_Mod_Beastmaster_04_Whistleblower,,,Sic Em' / Eager To Impress / Psycho Head on a Stick
ClassMod_Part_Mod_Beastmaster_05_DARPAW,,,Ferocity / Who Rescued Who? / Self-Repairing System
ClassMod_Part_Mod_Beastmaster_06_Overdriven,,,Rage and Recover / The Fast and the Furryous / Who Rescued Who?
ClassMod_Part_Mod_Beastmaster_07_Thrillbotting,,,The Most Dangerous Game / Big Game / Hidden Machine
ClassMod_Part_Mod_Beastmaster_08_TurboCharged,,,Second Intention / Furious Attack / Overclocked
ClassMod_Part_Mod_Beastmaster_09_Headcase,,,Ambush Predator / Leave No Trace / The Fast and the Furryous
ClassMod_Part_Mod_Beastmaster_10_Botmaster,,,Ferocity / He Bites! / Go for the Eyes!
ClassMod_Part_Skill_BeastMaster_Bond11,,,"When FL4K's pet takes damage, the pet returns some of that damage to the attacker."
ClassMod_Part_Skill_BeastMaster_Bond2,,,"Kill Skill. Whenever FL4K kills an enemy, Action Skill Cooldown Time is reduces."
ClassMod_Part_Skill_BeastMaster_Bond3,,,"Whenever FL4K's Pet deals damage, FL4K regenerates health for a few seconds."
ClassMod_Part_Skill_BeastMaster_Bond4,,,"When FL4K's pet attacks an enemy, the first melee attack is an automatic Critcal Hit that deals increased damage."
ClassMod_Part_Skill_BeastMaster_Bond7,,,FL4K's Pet deals increased damage.
ClassMod_Part_Skill_BeastMaster_DangerousGame,,,"Hunter Kill Skill. Whenever FL4K kills a Badass or stronger enemy, they gain increased Critical Hit Damage, Gun Damage, and Handling for a long time."
ClassMod_Part_Skill_BeastMaster_FastAndFurry,,,"Turn Tail and Run: While moving, FL4K constantly regenerates health and gains Damage Reduction. While Still, FL4K gains Gun Damage and Fire Rate."
ClassMod_Part_Skill_BeastMaster_Frenzy,,,"Frenzy: Hunter Skill. When FL4K's pet deals damage, FL4K and their pet gain a stack of Frenzy. Each stack of Frenzy increases Damage. The stacks decay after a few seconds."
ClassMod_Part_Skill_BeastMaster_FullTank,,,"Fast and the Furryous: While above half health, FL4K's Gun Damage and Movement Speed are increased."
ClassMod_Part_Skill_BeastMaster_GeneticLink,,,"When FL4K takes damage, a portion of all damage they take is shared to their pet instead."
ClassMod_Part_Skill_BeastMaster_GotThisForYou,,,"Hunter Kill Skill. Whenever FL4K kills an enemy, their Pet gains increased Movement Speed and Damage for a few seconds."
ClassMod_Part_Skill_BeastMaster_HeadCount,,,"Whenever FL4K scores a Critical hit, there is a chance their Action Skill Cooldown is reduced."
ClassMod_Part_Skill_BeastMaster_HR1,,,"Hunter Skill. After shooting an enemy, FL4K gains a stack of Furious Attack."
ClassMod_Part_Skill_BeastMaster_HR2,,,Attack Command has a lowered Cooldown and increased Damage.
